epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,877.319,1.12821,0.63757,1.02356,0.99182,0.98846,0.99403,0.64945,1.2271,0.60317,1.02964,0.0011882,0.0011882,0.0011882
43,895.073,1.1481,0.64935,1.02734,0.99249,0.98846,0.99492,0.64043,1.22024,0.59346,1.02473,0.0011684,0.0011684,0.0011684
44,915.09,1.16347,0.64305,1.02973,0.99463,0.99231,0.99496,0.64912,1.21821,0.59503,1.01739,0.0011486,0.0011486,0.0011486
45,934.714,1.11876,0.64194,1.02752,1,0.98391,0.99492,0.64343,1.21933,0.5919,1.01893,0.0011288,0.0011288,0.0011288
46,952.233,1.10309,0.6169,1.01258,0.99563,0.99231,0.99492,0.65134,1.21135,0.59958,1.02295,0.001109,0.001109,0.001109
47,972.681,1.12266,0.63896,1.01451,0.9916,0.99231,0.99477,0.64931,1.20735,0.59454,1.01734,0.0010892,0.0010892,0.0010892
48,990.57,1.09893,0.61638,1.01727,0.99126,0.98846,0.99473,0.63934,1.22916,0.59467,1.01993,0.0010694,0.0010694,0.0010694
49,1010.5,1.10483,0.62034,1.01159,0.99233,0.99459,0.99496,0.64706,1.22983,0.58492,1.02784,0.0010496,0.0010496,0.0010496
50,1030.45,1.10788,0.623,1.01239,0.9969,0.98462,0.99489,0.65935,1.20907,0.57762,1.01377,0.0010298,0.0010298,0.0010298
51,1048.09,1.10296,0.61416,1.01263,0.99402,0.98462,0.99481,0.65381,1.23007,0.58893,1.02326,0.00101,0.00101,0.00101
52,1067.77,1.07933,0.61085,1.00643,0.98418,0.99615,0.99488,0.64635,1.22338,0.58286,1.01676,0.0009902,0.0009902,0.0009902
53,1085.13,1.08371,0.60261,0.98911,0.99613,0.99112,0.99488,0.64358,1.22216,0.58215,1.02377,0.0009704,0.0009704,0.0009704
54,1107,1.12276,0.6119,1.01165,1,0.99519,0.995,0.64222,1.20943,0.59238,1.02861,0.0009506,0.0009506,0.0009506
55,1131.76,1.08547,0.60516,1.00121,0.99615,0.9953,0.995,0.64567,1.22233,0.57612,1.0302,0.0009308,0.0009308,0.0009308
56,1152.28,1.08752,0.58306,0.99174,0.99504,0.99615,0.99496,0.64463,1.2475,0.57394,1.04009,0.000911,0.000911,0.000911
57,1175.03,1.11103,0.60836,1.0167,0.99728,0.99615,0.995,0.64434,1.25014,0.57031,1.03102,0.0008912,0.0008912,0.0008912
58,1201.69,1.05122,0.57804,0.99548,1,0.98757,0.99489,0.64651,1.24697,0.56912,1.03018,0.0008714,0.0008714,0.0008714
59,1225.61,1.08384,0.5728,0.98353,0.98847,0.98913,0.99489,0.647,1.24685,0.56396,1.03757,0.0008516,0.0008516,0.0008516
60,1246.3,1.05549,0.58097,1.00543,0.99707,0.99615,0.995,0.65178,1.23778,0.55828,1.02548,0.0008318,0.0008318,0.0008318
61,1269.38,1.08127,0.57515,1.00772,0.99461,0.99231,0.99488,0.652,1.242,0.55303,1.02405,0.000812,0.000812,0.000812
62,1291.88,1.08664,0.59368,1.01309,0.99614,0.99163,0.99488,0.65196,1.2321,0.5521,1.02093,0.0007922,0.0007922,0.0007922
63,1312.93,1.06011,0.57222,0.99742,0.99613,0.98936,0.99496,0.66217,1.2142,0.54479,1.01257,0.0007724,0.0007724,0.0007724
64,1335.87,1.04618,0.56575,0.98977,1,0.99145,0.995,0.6523,1.21072,0.54303,1.01153,0.0007526,0.0007526,0.0007526
65,1358.63,1.02747,0.56508,0.99731,0.99793,0.99231,0.995,0.65753,1.21289,0.53738,1.01206,0.0007328,0.0007328,0.0007328
66,1378.96,1.02126,0.55306,0.98103,0.99276,0.98077,0.99435,0.65599,1.21028,0.5434,1.0117,0.000713,0.000713,0.000713
67,1400.2,1.03504,0.55016,0.97115,0.99507,0.98846,0.99489,0.65297,1.22616,0.55147,1.01704,0.0006932,0.0006932,0.0006932
68,1421.45,1.04379,0.56005,0.98714,0.99614,0.99139,0.99496,0.65332,1.21725,0.53816,1.01612,0.0006734,0.0006734,0.0006734
69,1440.6,1.03141,0.561,0.99437,0.99355,0.99231,0.99496,0.65725,1.22256,0.53351,1.01562,0.0006536,0.0006536,0.0006536
70,1461.6,1.03893,0.55348,0.99376,0.98852,0.99615,0.99488,0.6548,1.26056,0.53211,1.02871,0.0006338,0.0006338,0.0006338
71,1483.38,1.04603,0.5628,0.98466,0.99844,0.99615,0.995,0.64897,1.25346,0.53387,1.02692,0.000614,0.000614,0.000614
72,1502.17,1.06676,0.57364,0.98691,0.99471,0.99231,0.99477,0.6488,1.25991,0.5407,1.03412,0.0005942,0.0005942,0.0005942
73,1524.63,1.04201,0.55175,0.99284,0.9988,0.99615,0.995,0.66213,1.2218,0.53098,1.02007,0.0005744,0.0005744,0.0005744
74,1546.79,0.99413,0.54807,0.97055,0.9995,0.99615,0.995,0.65858,1.21534,0.53261,1.02105,0.0005546,0.0005546,0.0005546
75,1566.34,0.97782,0.53766,0.9614,0.99417,0.99231,0.99434,0.64206,1.2485,0.54261,1.0386,0.0005348,0.0005348,0.0005348
76,1587.54,1.00071,0.54057,0.97333,1,0.99461,0.995,0.65329,1.21579,0.53124,1.02223,0.000515,0.000515,0.000515
77,1607.56,0.99931,0.54694,0.97449,0.99843,0.99231,0.995,0.65646,1.20812,0.52675,1.0198,0.0004952,0.0004952,0.0004952
78,1630.21,0.97057,0.53715,0.98295,0.99961,0.99231,0.995,0.6557,1.22685,0.52618,1.02795,0.0004754,0.0004754,0.0004754
79,1654.08,0.9762,0.5249,0.95411,0.99937,0.99231,0.995,0.64571,1.25654,0.53032,1.04193,0.0004556,0.0004556,0.0004556
80,1679.21,1.01175,0.54476,0.99024,0.99615,0.99553,0.995,0.65714,1.23461,0.52781,1.0294,0.0004358,0.0004358,0.0004358
81,1699.75,0.96965,0.51659,0.95873,0.99579,0.99231,0.995,0.65794,1.22689,0.52286,1.02196,0.000416,0.000416,0.000416
82,1722.23,0.97509,0.51451,0.96966,0.99452,0.99615,0.99496,0.65735,1.23886,0.52588,1.02801,0.0003962,0.0003962,0.0003962
83,1743.67,0.98625,0.52298,0.98179,0.99615,0.99506,0.99496,0.65255,1.24129,0.52974,1.03015,0.0003764,0.0003764,0.0003764
84,1762.38,0.94125,0.50161,0.95938,0.99129,0.99615,0.99492,0.65288,1.23299,0.52786,1.02718,0.0003566,0.0003566,0.0003566
85,1783.99,0.96484,0.51248,0.96049,0.99172,0.99615,0.99496,0.64986,1.23524,0.52478,1.02591,0.0003368,0.0003368,0.0003368
86,1805.87,0.93295,0.49432,0.9595,0.99172,0.99615,0.99492,0.65461,1.24427,0.52014,1.03168,0.000317,0.000317,0.000317
87,1824.92,0.93828,0.50798,0.96047,0.98824,0.99615,0.99492,0.65272,1.24896,0.51619,1.0377,0.0002972,0.0002972,0.0002972
88,1846.15,0.94644,0.50498,0.95676,0.99159,0.99615,0.99488,0.6566,1.23519,0.51242,1.0327,0.0002774,0.0002774,0.0002774
89,1868.7,0.93508,0.49693,0.9574,0.99214,0.99615,0.99492,0.66038,1.22534,0.50857,1.02759,0.0002576,0.0002576,0.0002576
90,1888.54,0.94118,0.51134,0.96991,0.98854,0.99513,0.99489,0.66554,1.21695,0.50309,1.0204,0.0002378,0.0002378,0.0002378
91,1910.08,0.94806,0.69723,0.973,0.99233,0.99528,0.99492,0.66133,1.2239,0.50652,1.02156,0.000218,0.000218,0.000218
92,1930.33,0.9727,0.67831,0.96145,0.99233,0.99577,0.99496,0.65563,1.25787,0.51287,1.02855,0.0001982,0.0001982,0.0001982
93,1951.92,0.94996,0.60809,0.94419,1,0.99152,0.995,0.65581,1.25324,0.51305,1.02514,0.0001784,0.0001784,0.0001784
94,1975.57,0.93051,0.57014,0.95444,0.99231,0.99279,0.995,0.66227,1.23396,0.51432,1.01685,0.0001586,0.0001586,0.0001586
95,1998.06,0.92411,0.5656,0.94654,0.99456,0.99615,0.995,0.66092,1.23422,0.51447,1.01817,0.0001388,0.0001388,0.0001388
96,2017.8,0.91502,0.54392,0.92987,0.99173,0.99615,0.99496,0.6582,1.23422,0.5123,1.01702,0.000119,0.000119,0.000119
97,2040.85,0.89747,0.53411,0.93669,1,0.98743,0.99492,0.65955,1.23612,0.51234,1.01649,9.92e-05,9.92e-05,9.92e-05
98,2063.08,0.89764,0.53039,0.92902,0.99502,0.99615,0.99492,0.64733,1.24971,0.51672,1.02131,7.94e-05,7.94e-05,7.94e-05
99,2083.46,0.89937,0.51414,0.95396,0.99404,0.99615,0.99488,0.64654,1.2498,0.51686,1.02203,5.96e-05,5.96e-05,5.96e-05
100,2106.1,0.90367,0.50991,0.93489,0.99615,0.99466,0.99492,0.64405,1.24647,0.51693,1.02237,3.98e-05,3.98e-05,3.98e-05
